Emotion,Clean_content,Sentiment
sadness,want bud mel miss hur loads,Neutral
worry,hi im depressed cause cant,Neutral
worry,traveling la today grandpa hospitalyet road block cross fro family,Neutral
worry,understanding require taking paragraph context para lead opting class,Neutral
worry,sweltering afternoon wonder creepy slithering snakes heading creek nasty things swim frightening detail,Negative
worry,found typos story plain dealer including run sentence happens days,Positive
worry,guttedthe end nigh x,Neutral
sadness,happy,Negative
worry,oh dear god going buy mac protools think darling edit suite soon filled prince persia movie,Positive
happiness,nice night golfing,Positive
worry,feel sick teeth hurt fml,Negative
sadness,mow love mow,Positive
sadness,oh noooo sucks reschedule,Negative
sadness,spent day bridget small thing got wind farted lot oh yeah baby slightly broody,Negative
worry,getting ready long weekend workfriday saturday sunday,Positive
happiness,leaving florida want live forever texangirl,Positive
sadness,wish going today im sad dont,Negative
enthusiasm,bgt gutted finishes tomorrow stavros flatley way,Neutral
sadness,traveling la grandpa hospitalanother road block family cross,Neutral
sadness,want forgive forget dont like promise going live drama nowso,Positive
worry,homeless afterjune st,Neutral
sadness,snap im reality watch im hooked sad,Negative
worry,sad school gon na miss friends teachers,Negative
worry,changing stay tuned follow new page ophelia barks new thx,Positive
worry,vile people remove things value,Neutral
sadness,tesla dealership,Neutral
worry,sister listening goodbye lover fine frenzy scarletts song makes sad,Negative
worry,know unfortunately im bazillions americans health insurance awesome,Positive
worry,good luck want new shoes ly x,Positive
worry,buy team zotz decide roast,Neutral
worry,nooooo hate traffic,Negative
sadness,stuck work stuck work im hungry,Neutral
worry,damn long install sbs,Negative
sadness,watching thomas train engine makes miss george carlin,Neutral
worry,ahhh fcukkki missed fill deetzsee tonight,Neutral
worry,happened day wearing necklace white spot chest,Negative
worry,annoyed braces cheek cut cant eat,Negative
sadness,quotshipping amp handleingquot soooo expensive entire order ordering,Neutral
worry,fell asleep amp hours missed chances firstlook hollyoaks ugh,Neutral
happiness,yesall oh gone bed minor soap marathon photo editing night ohhh inn lake nice food,Positive
worry,havent heard greg im scared ive heard hes freaky x,Neutral
worry,hope ok,Positive
worry,ya suppose sowish cud hv thm bk,Neutral
worry,healthy food helping hangover,Positive
worry,aww man arrived howto guideless,Positive
worry,need sudden urge missing diplomat title,Negative
sadness,wishing soco climb instead im stuck work weekend,Neutral
worry,lol im going log hr lolz b lose followers movement going,Positive
worry,im life preservers sorry consolation youre special tomorrow,Negative
sadness,lunch breaks going work,Neutral
enthusiasm,aww wish thing,Positive
worry,good rachel nowt,Positive
sadness,mediatemple mt awful ftp service,Negative
worry,yeah goin vmail called store luck,Neutral
worry,awwwww im sorry,Negative
happiness,massive headache going terminator tonight,Neutral
worry,live dont great things,Positive
worry,bit worried,Neutral
worry,follower makes sad feel like life dull uninteresting,Negative
worry,dont watching bb,Neutral
worry,year old grandma chicago emergency surgery today,Positive
sadness,wtf come need day,Negative
sadness,ooh hayfever struckthought going avoid year nooo remedies,Neutral
sadness,let mri today neurosurgeon didnt order itwhich means come okc soon amp new,Negative
happiness,watch jay leno tonite day tonight host,Neutral
worry,pretty depressed losing hello kitty necklace,Positive
sadness,okay gots time started miss block party,Positive
sadness,watching army wives makes cry,Neutral
happiness,symantec ghost image corruption making cry,Neutral
worry,im getting amp family ready kaylees graduation gon na sad,Negative
worry,buckfast brain went blank,Neutral
worry,tell accidentally screwed layout lautnerdaily community,Neutral
anger,grabbing snack drink chilis power went got food,Neutral
worry,cvs like genetic brandpoor youmy hubby gets bad allergiesno fun,Negative
worry,shiraz event antibahai centernot mosque election campaignsadly children wr involved zahedan,Neutral
sadness,im german think able germany free wantplz,Positive
happiness,haaa awesome remember brother got given woody got upset cause got buzz got lmfao,Positive
worry,cant find id going upset cant deltas tonight,Positive
worry,guys come fucking freezing,Negative
sadness,romantic novel cried end im going bed im tired,Negative
happiness,ughhh think plans ruined excited,Positive
worry,omfg worst days,Negative
worry,viewers block skype,Neutral
worry,happened weather,Neutral
sadness,happy,Negative
happiness,week easy finally,Negative
worry,havent got hang hash tags,Positive
sadness,need horror lovecraftian actually weird horror movies,Negative
happiness,friday freakin happy today annoying day buuut weekend tgiflt,Negative
worry,looks like going upset venus,Neutral
happiness,new york ft looks good night big apple,Positive
sadness,best day met greatest year olds ahh ill miss saw hour xd sad,Positive
happiness,thanks support kept updating helps,Positive
worry,didnt camera totally regretting,Neutral
worry,ummm kid said quotfuckerquot like minutes gparents knows mom potty mouth,Negative
sadness,finally friday grounded till thursday stereos life lt,Neutral
worry,internet fast slow fast connection,Positive
worry,needs fever grrrrr,Neutral
sadness,freddies cotch ladyhawke missing bajan beauty,Negative
sadness,eat office sick throat days leave air condition throat killing tour bus,Negative
sadness,argh twitter didnt post replies tweets ages aint enjoying sun,Positive
sadness,work disneynot cracked ta,Neutral
worry,pair jeans nowadays tight think mah butt gettin big oh,Positive
sadness,oh gosh tomorrow god youre lucky week,Positive
worry,radio royals transmitter packed today good got spare shed lol,Positive
sadness,bank,Neutral
worry,ok mr man help followers pleaseeeeeeee,Positive
worry,week post myquothorrible traumatic jumping cholla accidentquotchollas dirty trickpieces starting emerge hand ouch,Negative
sadness,im happy ipod laptop dont know whih decided refuse let sync songs live,Negative
sadness,fell holdin kales hand todayi hurt foot amp bruised forehead im klutz,Negative
sadness,clicked check pictures angelina went spam site ordering checks figure,Neutral
worry,hours sunrash,Neutral
worry,lol walking think polish cleaning earlier floor slippery,Positive
worry,home work todayson sick,Negative
sadness,lobster dinner mba folks tonight terasse pouring rain mtl,Neutral
sadness,oo noo thats good,Negative
worry,weekend begin got idea project think cool sure ive got time right,Positive
sadness,feeling bad daisy cries episode watch waaaaay tv,Negative
sadness,lost follower oh probably mute ones,Neutral
enthusiasm,day work making great,Positive
sadness,ive dead past daysthe flu sucks,Negative
worry,urban think fail chai latte good,Negative
happiness,aww sunny day tasty barbeque family got bad sunburn,Negative
sadness,told joke onstage butlins person laughed scarred life,Positive
happiness,lunch ready homeeeeeeeeeeeeeee,Positive
worry,yeah little rough morning tonight tomorrow night goes planned caloric intake charts,Positive
worry,dinner w family im meeting christine anymore sunny weather tomorrow day amp want red bull,Neutral
worry,doesnt look good,Positive
worry,gaining weight,Neutral
worry,lost artistic abilities,Positive
worry,jeans inches long inches long holy cow getting shorter,Negative
worry,miss,Neutral
worry,guess id better look new best friend vip tickets wont want anymore,Positive
worry,shout people goin prom amp iish quotdamn kinda miss high schoolquot,Positive
worry,boring cricket match canterbury supposed big hitting shame,Negative
worry,im sad cage daisy love went home week crying tear bit,Negative
sadness,wish wit friend r weekend ill working,Negative
worry,puppy wanted adopted yesterday guess dogs dont little brother anytime soon isnt shelter,Negative
worry,followed recently dont offended havent followed hit limit hopefully free soon,Positive
enthusiasm,store airport close wdw trip,Neutral
happiness,dinner crown south moreton david stroppy teenager,Neutral
worry,omg read night english class sad,Negative
worry,trust elses battery operated power tools youre hurry,Neutral
sadness,oh im tired migraines amp amp amp sleep probs compoundin ea surgery,Negative
sadness,im going sadly maybe year eh,Negative
worry,sunburn hurts,Neutral
worry,hi tom,Neutral
worry,nobodys home tonight sigh oh wish,Neutral
sadness,feeling great today,Positive
happiness,looking website working,Neutral
sadness,huh pr,Neutral
worry,melly belly need,Neutral
worry,sisters crying eyes hubby called iraq spoke n minutes heard popping sounds background dropped,Negative
happiness,bc overcast gets sunny yes,Neutral
sadness,hey tom im happy youre enjoying brazil im sad cuz im goin,Positive
worry,found theres sushi fake crab meat good,Negative
worry,home work need continue packing raerae gone weekend mya hanging,Neutral
worry,graduation day feel like failure,Negative
worry,shit trouble dont try companys buys house,Negative
sadness,wish mum hadnt spent forever talking kiera later gtlt dont time left,Positive
worry,index finger left hand bleeding hurts pretty bad hate clumsy,Negative
sadness,work soon way soon,Positive
happiness,hahaha probably sorry weve got things houseand jareds parents house,Positive
worry,im sorry hear,Negative
sadness,way doesnt sense rotfl,Positive
sadness,listening hey zulu red n meth sux work right,Positive
sadness,ive experienced apathy empathy customer service situations times recently,Positive
sadness,sigh know,Neutral
worry,loved shoutout tweethampton congrats hope youre feeling better missed weekend,Positive
sadness,missed ups guy ugh sad got cool stuff today im super excited looking forward tonight,Positive
worry,ugh need job hiring,Neutral
worry,oh gosh hardest decision life chose jonas green dayugh,Negative
worry,ran white yellow oil paint add quotutrecht runquot list,Neutral
worry,looking good outside continues feel movie night coming,Positive
happiness,dont know mom gave clean macbook white tinted grayish blue black desk,Positive
sadness,ive wanting gone mo amp close shops,Neutral
anger,want invite sick seeing links people playing left,Negative
sadness,finally feels like nice summer day im feeling sick,Negative
worry,walking wk beautiful day njoy b rains,Positive
sadness,found swing set sale blocks home super cheap want kids answering phone listed,Positive
worry,think today throat killing feels like lungs,Neutral
sadness,miss heroes come fall,Neutral
anger,mummy told wnted mummy live wid dad think confusing,Negative
worry,insulting,Negative
worry,cant believe idiots buzzed juggler,Negative
sadness,spare time twill spent homework weekend,Negative
worry,tweeets fgs tweekdeckkk hates cryyyy,Neutral
worry,poor lil jman fever cant wait home hold little man,Negative
sadness,im feeling frustratedi cant things work,Neutral
worry,fatfingered coke machine drinking diet pepsi instead diet dr pepper wish machine error correction,Neutral
worry,missourian day sturtz,Neutral
sadness,ewwwy campus cleanup community service,Neutral
sadness,little girl bgt sad cried lol xxxxxxxxxxxxxxxxxxx,Negative
sadness,ended going left knee killing think pushed yesterday,Positive
worry,smh im sick bug thats going aroundalmost know sick including,Negative
worry,thanks u idk im going dont feel like getting dress hair lol,Positive
enthusiasm,gon na storm said,Neutral
sadness,dont vote sympathy,Neutral
worry,awwww bless needs chance,Positive
sadness,aw wee lassie cry tears streamin doon face lol thats wee shame x,Positive
worry,beautiful lil cousin going prom todaysad cant therebut know shes gon na look beautiful,Positive
worry,lookd soo freaked outpoor wee thing,Neutral
sadness,sitting watching britains got f talent watched small girl cry sad,Negative
worry,stupid sun actually work,Negative
happiness,followed compliance great watch,Positive
worry,im crying poor thing,Negative
worry,ouch burned making soup nico,Neutral
happiness,haha awesome use eat,Positive
happiness,sister cry hahah bless hope,Neutral
worry,jealous add wish nicole herebut know shes tweet,Positive
worry,omg saw flood area news careful zaina,Negative
worry,aww cant believe wee girl bgt crying sad,Negative
worry,fly driving insane aw feel bad,Negative
sadness,bless little girl bgt,Negative
happiness,sick im totally getting gh bad guys didnt play boston,Negative
worry,aww holly steel dont cry,Positive
worry,damn id interested working care dont live sf anymore,Positive
worry,lucky wear tag feel like xmass tree work tag keys cliped belt ads aroud neck,Positive
happiness,aw bless stomach sank whimpered good trying carry thats nice simon charge,Positive
sadness,sad schools close,Negative
worry,nope fifth generation ipod classic likes dumb,Negative
worry,think found cant play,Neutral
sadness,tough wanted hug like,Positive
worry,ahhh feel sorry little girl cant watch crying xx,Negative
sadness,phone blocked fav cll,Neutral
worry,sick congested forehead possible chest achy eyes wan na sleep weekend away,Negative
worry,james cameron touches revolutionizes comes fucks,Neutral
sadness,sell guitar hero ps fund splitting ex,Neutral
worry,verizon fone borrow mean time replacement,Negative
worry,trying figure personalize downloaded wordpress blog easy hoping suggestions,Positive
worry,got fight ryan hes like crying im dead inside sigggh,Negative
worry,version compatible vista,Neutral
sadness,ino near crying forget actually live tv talkin sme thingsxxxx,Negative
sadness,nice wish twitter tile,Positive
worry,yikes poor girl bgt hard watch,Negative
worry,cramps,Neutral
sadness,ughhh bottle foundation ive broken,Negative
worry,natalie little holly mean,Negative
worry,aww feel bad holly,Negative
happiness,omds holly steel bless x,Neutral
worry,everyones tweets britains got talent feel left,Neutral
worry,cant im mexico dont know code,Neutral
sadness,want dinna hink itll shown elgin n got nae withn,Neutral
worry,accomplish fucking thing,Negative
worry,wait electrik red richgirl im sucker later,Negative
worry,aww bless hope phones okayy x x,Positive
sadness,gon na fit big long advertisement,Positive
worry,tried carry aswell bless suppose maybe thats kids shouldnt,Neutral
worry,youre superstar doesnt mean,Negative
worry,ohhh baby pdgg ahh im missing ahhh hehaheahaaaa,Negative
happiness,little girl holly find time aw shell loads votes bet,Negative
sadness,,Neutral
sadness,im depressed like baddddd,Neutral
sadness,britains got talent cute little girl feel sorry hope simon finds time xx,Negative
sadness,cokies arnt real imaginary hav mmmmmmmmmmmm cookie,Positive
worry,shit got grocery got food snif snif,Negative
happiness,know,Neutral
worry,awww poor little girl bgt,Negative
worry,know right poorpoor girl shows shouldnt young people competitions like,Positive
worry,omg arent online shock horror,Neutral
worry,know feeling working sucks hardcore need hang soon,Negative
worry,cant paint anymore light,Positive
worry,awww think shes tooo young ready tis painful watch upset,Negative
sadness,bringing snacks,Neutral
sadness,ugh dunno im best moods know allergies meh,Positive
sadness,want join live michigan,Positive
worry,wtf happened feed,Negative
worry,omg bgt making cry wee girl soo sad,Negative
worry,aww sad,Negative
happiness,haha crying xx,Neutral
happiness,minute thought said quotmaggie extra eye growingquot yep im space cadet sorry sweet girl,Negative
worry,awkward moment poor girl hope doesnt loose,Negative
worry,day day classes im little sad,Negative
sadness,bunny longing hoodie left car brrr,Neutral
sadness,going happen day feel girl mum,Neutral
sadness,like idea going cinema monday,Neutral
worry,im situation im sad im sorry thats sucky,Negative
worry,whats wrong,Negative
worry,brian cat hasnt shown upi feel sad sick im afraid hes eaten doesnt look good,Negative
sadness,awww thats fair im lil sad,Negative
worry,getting ready work boohoohoo dont wan na work,Positive
worry,imovie bad afraid hear wrong,Negative
sadness,gloomy la sun nice,Positive
sadness,excitement new followers overnight sadness ad bots,Positive
sadness,oh noooooo im sorry sucks hard,Negative
worry,feel sorry hope dnt cry nd time,Negative
worry,whats twhirl ive work weekend thank god im probably going miss red sorry,Negative
sadness,sorry im creating new comedy style quotbad jokingquot,Negative
sadness,omg im going robinson tyler wfm freakin miss anthony ugh today kinda sucks lexlt,Negative
worry,phil miss gracin ya presence havent whats new,Positive
worry,yeah says available live aug th nov nd roughly,Positive
worry,knowheartless souls,Neutral
worry,days aight cleaning went mcds check hader toyno luck ate chickfila,Positive
worry,work heat horrible,Negative
worry,spoke soon nice evening lots broken cloud coming south,Positive
happiness,oh okay random taste blood mouth makes quoteww bloodquot haha,Positive
happiness,hollie steel bless dreambears lt hahahahaha,Positive
worry,waiting cell phone dry went swimming bowl water earlier,Negative
sadness,beautiful blog im able acess anymore,Positive
worry,unable booze friday entire weekend actually hurts,Negative
worry,stressed belief need nap,Neutral
worry,suppose bike lanes roads arent safe pull kids bike buggiestrailers,Positive
worry,awww poor little girl britains got talent,Negative
worry,left poor fredboyfriend alice wonderland ride oops sorry fred argh,Negative
worry,aww bless shes faves,Positive
worry,sn yeah sad day,Negative
worry,meds sleeepy sleeepy hate sick,Negative
worry,sees finish line disappearing plethora emails wah,Neutral
worry,oh im sorry old grandpa,Negative
sadness,plan evening dinner shopping dress shirts watching going bed plan saturday funeral friend,Neutral
happiness,yaaay u cleaning ur room said hi u day amp u didnt write,Negative
happiness,mallorca want play guitar come home im going buy mcfly dvd,Positive
enthusiasm,want cost maybe parents okay,Positive
worry,cry poor hollie xx,Negative
worry,poor kid,Negative
worry,know buffie sitting office instead going ms kane major bummer,Positive
worry,quoti think know hes going break tell im sorry know love himquot,Neutral
worry,need new iphone case broke,Positive
worry,sad wife florida hes sick lexington,Negative
worry,love sadly work,Neutral
worry,thats horrible ill praying poor thing,Negative
sadness,sounds good like fridays means work tomarrow,Positive
worry,phone knew shouldve charged night sigh,Neutral
sadness,making good time fucking chicago traffic photo,Positive
worry,imnot aloud youbut think awesomeilyxx,Neutral
worry,stuck anniston mississippi got car accident im scared drive boy drivers ed fun summer,Positive
worry,left hurt run adter fianly shower washed paint,Neutral
sadness,song unable listen,Negative
worry,work dont know im exhausted,Negative
happiness,yay im ride home tha yellow limosuper gay,Positive
sadness,fucking miss band,Negative
worry,wish going prom oh wellgoing wish girls good luck going good oll applebees yumm,Positive
worry,got hope work time want job,Neutral
sadness,miss hubby,Neutral
worry,im busy days twitter blog,Positive
sadness,nofair bk uhura nero left,Neutral
worry,bad day day realize mess youve happiest days life,Negative
worry,checking twitter trying find people knowunfortunately know uses website,Neutral
happiness,need cheer,Neutral
worry,cant find tennis racket,Neutral
sadness,needs water paper towels coke store feels sick,Negative
worry,hell going school hours monday tuesdaydumb snow days thier lame rulesmy mom making,Negative
worry,missing st game tonight maybe lucky home time watch second,Negative
worry,yes thanks great soooooo looking forward monday,Positive
worry,shots novacaine mouth right cheek totally numb booo,Negative
worry,helping cousin ready th grade danceshe growing,Positive
worry,hey hunny missed callsor emails,Neutral
sadness,sorry response assistant job filled check soon im sure long,Positive
sadness,home sore knee,Neutral
worry,thats hair guys oh dip got ta onee minits leff,Neutral
worry,forgot tonight planning heading cask good idea,Positive
worry,funny bumps going away,Negative
sadness,going away partyyy come,Neutral
worry,im lunch ur lil late buddy,Negative
worry,grrr hate careless mistakes docs partner,Negative
worry,omg watching hollie steels crying painful,Negative
sadness,limited web access thought europe lot quotconnectedquot regardless fun ive europe,Positive
worry,arghhhhhhhhh cant twitterbones peeps,Neutral
worry,hey reply cant im mexico dont know code love,Positive
happiness,hey forgot ask steve mate look like liam shameless,Negative
sadness,miss mucho,Neutral
worry,sucks hang,Negative
enthusiasm,heeeeey baby,Neutral
worry,thinkhope age limit year,Neutral
worry,aww thats bad lost,Negative
worry,hair falls everytime shower sad disgusting,Negative
sadness,poor girl britains got talent god love forgot words cried gets second chance perform,Positive
sadness,sucks think cry skipped important dont comps getting disposable,Positive
happiness,enjoy day prob u glyders pint got ta drive straight weve got dog stuff sunday,Positive
happiness,tom u hahahahahahhah hes bff,Neutral
sadness,awww poor holly,Neutral
worry,aww mamas hope rest beautiful muah holla,Positive
sadness,people r weird,Negative
worry,sure miss chick thomay rip,Positive
worry,yes dont die cry normally leads small animals getting harmed,Negative
worry,feeling going sleep,Neutral
worry,broke dresser shes,Neutral
sadness,summer hours day ends pmdoesnt mean leave,Negative
worry,josettewhere looked pond found,Neutral
worry,feeling tempted high volume jeeps start quotacura wavequot,Positive
worry,brought cat specilist ectopic uritors ultrasound surgury gt need humane society,Neutral
worry,hope sake worse,Negative
worry,ive spend day studying bored studying chapters,Negative
sadness,time astronomy test,Neutral
sadness,getting getting cold asthma paying,Negative
worry,hate sitting doctors office told running hour awesome,Negative
sadness,actually workin weekendnot,Neutral
sadness,laaandan miss check new giant purple bow gold wing necklace lt td,Positive
sadness,miss dog ripbatman yeah batman hope dogs heaven true,Positive
sadness,walmart orientationits work seriouslythis sucks,Negative
happiness,aw babyy im sorry gots excited haha lt,Positive
worry,ow sunburn hurts,Neutral
worry,great daybut slightly depressed dont know going,Positive
sadness,urghgrime likey,Neutral
sadness,dont know watch holly breaks heart,Neutral
sadness,favorite curling iron broke,Positive
worry,yeah working paying jobsvolunteerintern tends disappear quicklygotta slow,Negative
worry,stupid headache day,Negative
sadness,wish time airport,Neutral
sadness,ive nudged going lately umped games wknd took pills,Negative
worry,ugh sounds like busted cable box time zone,Neutral
worry,sorry chili cheese dogged,Negative
worry,think pinched neck,Neutral
worry,wan na tonight doesnt look promising,Positive
worry,hour left ipod touch,Neutral
sadness,yall turned device updates cant turn em feel sosoout touch,Neutral
worry,tattoo ticklish,Neutral
worry,fmli good idea steal phil dumbass cousin cats jk id feel bad,Positive
worry,bored home tomorrow ive got work day,Negative
sadness,didnt cry end sad episode er man good series,Positive
sadness,wee girl started crying mum came shame,Negative
worry,went bought nail polish ellen,Neutral
sadness,sad love kelly lt,Positive
happiness,quothow know mequot quiz day took pics yday fb xx,Negative
worry,sitting car cat keeps meowing feel bad,Negative
worry,watching maxium cant look beautiful like girls,Positive
worry,things think preparing marathon aye dios,Positive
worry,watching walleits cute sad,Neutral
worry,scratched ipod,Neutral
worry,reg gig hopefully havent massage actually,Neutral
worry,didnt job,Neutral
sadness,man havent seen movietoo bad im work,Negative
worry,hypervenilating cuz watched keith urbans new video trying calm im realizing far away august,Positive
sadness,ps sorry ur uncle,Negative
worry,cloudy damp hope doesnt rain tonites track meet id hate interviews rain,Negative
worry,watching britains got talent poor holly,Negative
worry,ugh headache wan na home,Neutral
worry,thats bad forced watch helpline good thanx hes asleep,Negative
sadness,hate watchn things sad n wana cry,Negative
worry,aw,Neutral
anger,respond,Neutral
worry,sitting computer study im right im procrastinating xd,Negative
worry,dont feel good throat hurts,Positive
worry,tao summer,Negative
worry,meant said skin terrible plus sunburnt chest,Negative
happiness,working ready,Positive
worry,tired work pm,Negative
sadness,found,Neutral
worry,working logo amp getting click happy photoshop dont quotstupid stop clickinquot ps,Positive
sadness,ur leaving week know dont u everyday like fact ur city,Negative
sadness,sound input computer stop working mic jack usb webcam mic doesnt work checked input controls,Positive
sadness,damn frat thats bad good im hoping esp bk,Negative
sadness,tired cant stay awakebut finish work sunday,Negative
worry,false alarm house,Negative
sadness,dangit lsu w spot b leads southern intentionally mentioning got jinxed,Neutral
happiness,dentist chicks hot thats plus,Positive
worry,feel ill think im dehydrated,Negative
sadness,tinycc doesnt load thinking going batting cages apparently got ta book adv,Positive
sadness,yooo myyyyye bust im sick tooo shoot long night tonight,Negative
worry,gutted kitchen literally kidding im hungry,Negative
sadness,dude fail know exactly place,Negative
worry,took antibiotics feel like crap,Negative
sadness,home chocolate peanut butter stupid kids bus ruined yearbook,Negative
worry,quotstop twitteringquot maryland cookies,Neutral
worry,agree hollie thing,Positive
anger,big laptop big time switch eee bye big guy,Neutral
sadness,seriouslyit gets sadder,Neutral
worry,ugh realized completely redo tweetdeck groups pains computer wiped clean,Positive
sadness,likewise better ask dont appreciate neglecting sir fresh,Positive
worry,like gaming system,Neutral
happiness,looked cute,Positive
worry,reeheally hoping rain stops time metro courthouse didnt bring umbrella today,Neutral
sadness,snob friendfollower ratio,Neutral
sadness,damm feel like song dead gone travis garland,Negative
sadness,kind hard pic doggie pic doesnt exist,Positive
worry,cause missed lot classes,Neutral
worry,hangover,Neutral
worry,shack idol today cant wait gon na funnn poor cameron fell bar speech today felt bad,Negative
worry,going work soon excited ugh id pluck fingernails,Positive
worry,happened wierd sudden,Neutral
sadness,saying goodbye papa,Neutral
sadness,cause missed lot classes,Neutral
worry,slip fall dirty school bathroom floor fml,Negative
worry,oh according mom dad going try weeks sep austira wrap vacation lmao,Positive
worry,aww shame gtgt,Positive
worry,day town wish catch plans figure,Neutral
worry,couldnt find p couldnt brantley feet raining,Neutral
worry,enjoying couch time,Positive
worry,city officially smells like dead fish,Negative
worry,good,Positive
worry,dogs going die somebody doesnt save,Neutral
sadness,receiving beautiful pics beach im office workinggetting bitter,Positive
worry,yeah stubborn got ta trying way,Neutral
worry,sorry anna wintour repeated tweets sooo sorry somethings wondering abt quad tweet,Negative
worry,rain makes sad like want kill myselflt,Negative
worry,think killed mo old bromeliad need new pet plant,Positive
worry,alarm got changed ended waking feel like half day gone,Negative
sadness,home mam dad club stay yes think proves loved,Positive
worry,hmmmm house,Negative
sadness,aaaaaw want live usa,Positive
sadness,nooooo secret namerebecca,Negative
sadness,hours work ugh goes slow im sore,Negative
worry,wheres love,Positive
worry,want blackberry cant afford watching telly relaxing hard sesion tomorrow,Negative
worry,oh yesi think tuesday june dresss bought felt guilty took,Negative
happiness,lunch havent eat soo long oh,Negative
sadness,today days leakycon awesome number wish wasnt far away,Positive
sadness,days away evicted,Neutral
sadness,got sick today text later nap time,Negative
worry,dont like dentistthey gums hurt,Neutral
worry,proper dog barks amp jumps amp fault strict,Positive
worry,follow fridays feel unpopular,Positive
sadness,cant find red lighter reminds amy,Neutral
worry,camping weekend boo dont signal thereits torture,Neutral
happiness,favourite pastimes weekend long weekend monday im ice w gdaughter,Positive
worry,official wvbr dj shift sad day listen online wvbrcom,Negative
worry,weekend dont think ill making michigan wonder years,Neutral
worry,aww cryin thoi want thrui feel sorry shes good tho,Positive
happiness,bye twitter amp fb world im san francisco airport ready board air china sure ill internet access,Negative
happiness,damn spent week pay shopping oh im happy,Positive
worry,stomach ache ahhhhhh,Neutral
worry,im dire need second job hear nightlife food service think,Neutral
happiness,dont know phone,Neutral
worry,im sorry,Negative
worry,im trying hurts,Positive
worry,hi heather dont know saw messages april twitter friendly,Positive
sadness,reyt fancies valentinos worst times considering cant,Negative
worry,want dec dad,Neutral
worry,omgggggggggg cant belive happened friend know missed thats nice,Negative
worry,concede twitter grammar fail,Negative
worry,feel slightly sick,Negative
worry,applied osap god im gon na owe major end academic career aint right,Positive
worry,euhm im french dont understand english poo,Positive
sadness,wasnt today free day bell rang wen rang end okayybut,Positive
enthusiasm,sounds foreboding,Neutral
happiness,reception food long beach graduation champagne,Negative
worry,oh maybe cope people definitely going vote,Neutral
sadness,head hurting,Neutral
worry,odd tried mitchel musso dosent work,Negative
sadness,weirdest hives legs arms heck allergic itches bad dang,Negative
worry,new crisis bag eavy doe,Positive
sadness,reply mee hate l,Negative
worry,deep fry drumsticks good thought,Positive
worry,talking today oh godness problems problems problems love money math parentsthat isnt,Positive
sadness,getting swingstill sore surgery tiredcoffee time,Neutral
worry,thats mathematica meant automatically hit button twice,Neutral
sadness,lula feeling,Neutral
worry,twitter isnt updating know famous,Positive
sadness,miss rest life,Neutral
worry,whats gloomy weather sun tired come play heading victoria gardens impulse buys haha,Negative
sadness,noes kills spiders good eat bad bugs webs like smushing,Positive
worry,work supposed day work plm world sigh,Positive
worry,taking underpriveledged kids circus moro big day planned amp aint feeling nervous right,Positive
worry,plus guys icetv miss living,Positive
worry,sorryi,Neutral
sadness,neil picked tailights cause heartless hit run,Neutral
happiness,dont wan na school monday honest,Positive
worry,know scale pic im trying change pic pics r big n cropping themhelp,Negative
worry,road test booked r scared,Neutral
worry,maybe somethings wrong phoneits working,Negative
worry,oh explains poor girl,Negative
worry,unlucky pants today lemonade earlier white russian middle dance floor,Neutral
sadness,big weekend final project sunday night computer day night,Negative
sadness,tooth bloody killing sure wait week fixed,Negative
sadness,lots reqs today fun,Negative
happiness,want super pretty want cig,Positive
worry,ashley tisdale mean cuz shes berlin th june im gon na wan na start cryin right ashley pick,Negative
worry,need atl mainly ikea stuff want isnt available online,Positive
worry,going im stuck misplaced remote extra bad tonight,Negative
sadness,yes lol chat earlier willing learn,Positive
worry,momentum works jeff hard time nd,Negative
sadness,wanted clubdancingbut im tired anyways work tomorrow,Negative
sadness,madly love rowwishing money,Positive
enthusiasm,trying motivation shopping list phone dont want makeahhh procrastination rears head,Neutral
sadness,feel like crap,Negative
worry,spent entire morning meeting w vendor boss happy w lots fun plans morning,Negative
happiness,water horse movie totally making want scotland want water horse lol,Positive
worry,sooo noticable depends look itbut know ipod isnt perfect,Positive
worry,want stop carls jr bring chicken club barely walk,Negative
worry,think found apartment downfall,Neutral
worry,dont know use,Neutral
sadness,pool fun tim,Negative
worry,bored improve friday nyts lol,Positive
worry,wheres new,Positive
worry,refuse excited dont want let happens long june id die,Positive
sadness,wish loved,Positive
sadness,sad gone mcfly fan,Negative
enthusiasm,hitting streets hours living lexingtons homeless foodno bedno problem facebook twitter pray,Neutral
sadness,ohh tooth hurts ohh im sad hurts,Negative
worry,wish couldnt wrap head hopefully itll wake people saythink quotracism doesnt exist anymorequot,Neutral
worry,lol ive realised ive sending messages meant page doesnt exist,Positive
sadness,alexxx im gona miss today im sad noooooooo,Negative
worry,omg days till st state exam,Neutral
sadness,sadly live scotland shane lt,Positive
sadness,wish laying sand listening waves crash shore,Neutral
worry,felt sorry people harsh cos given nd chance,Negative
sadness,ahhh u know ur shtlove lol hows issue coming loop sowwy,Positive
sadness,soooo sorry love kitties know,Positive
sadness,trying straighten hair effing hot need food,Negative
worry,agree teenage daughter spending money movie concert week,Neutral
worry,shelf ikea fell wall damage doneabout worth thats estimate,Neutral
worry,aww sux eeek airline charges xx,Positive
sadness,know people love country closer,Positive
worry,need dye hair slight hint ginger,Negative
worry,stomach bleh,Neutral
worry,soon,Neutral
worry,going miss seeing time,Neutral
sadness,dont wan na work tonight,Neutral
